,event,channel,time,time_len,integral,ampl,npeaks,is_sat
0,0,CH1,-1.998485e-06,2.239999999999999e-07,1.069666273809321e-10,0.0008268251488095237,1.0,False
1,0,CH1,-1.676885e-06,6.975999999999999e-07,5.760560178570336e-10,0.0025146971726190473,2.0,False
2,0,CH1,-1.9285e-08,1.2976e-06,3.959725749999249e-09,0.010116259672619048,3.0,False
3,0,CH1,2.535915e-06,3.5040000000000007e-07,1.0890208809521743e-10,0.0004972120535714285,0.0,False
4,0,CH1,3.711915e-06,1.3760000000000017e-07,4.3885482142848824e-11,0.00047928050595238085,0.0,False
5,0,CH1,5.703915e-06,3.3599999999999983e-07,2.3936009166662126e-10,0.0015847120535714284,1.0,False
6,0,CH1,6.102315e-06,4.159999999999974e-08,9.297053571426807e-12,0.0002665572916666666,0.0,False
7,0,CH1,6.926315e-06,1.4079999999999957e-07,4.5758584523800835e-11,0.0004974352678571428,0.0,False
8,0,CH1,7.158315e-06,3.184000000000002e-07,1.3064999285711807e-10,0.0006731049107142858,1.0,False
9,0,CH1,7.665515e-06,1.2799999999999268e-08,2.1312749999995954e-12,0.00019840252976190473,0.0,False
10,0,CH1,7.716715e-06,1.919999999999975e-08,3.5903369047612234e-12,0.00021752455357142855,0.0,False
11,0,CH1,7.795115e-06,3.6799999999999377e-08,9.253054761903007e-12,0.00030911681547619044,0.0,False
12,0,CH1,7.849515e-06,2.239999999999999e-08,4.2510583333325265e-12,0.00021923586309523804,0.0,False
13,0,CH1,7.918315e-06,4.800000000000361e-09,5.838166666665558e-13,0.00018314955357142854,0.0,False
14,1,CH1,-1.324565e-06,2.6720000000000017e-07,1.3066261666667645e-10,0.0009024203869047618,1.0,False
15,1,CH1,-9.50165e-07,1.6000000000000143e-09,0.0,,0.0,False
16,1,CH1,-1.8965e-08,1.0432e-06,3.5367628607145513e-09,0.01532816443452381,2.0,False
17,1,CH1,1.488235e-06,5.408e-07,1.8412912023810903e-10,0.0006385811011904762,1.0,False
18,1,CH1,2.062635e-06,1.7600000000000052e-08,2.9851547619049853e-12,0.0001904412202380952,0.0,False
19,1,CH1,2.710635e-06,3.5200000000000103e-08,7.278825000000544e-12,0.0002386555059523809,0.0,False
20,1,CH1,2.768235e-06,6.400000000000057e-09,8.753083333333989e-13,0.00018426562499999997,0.0,False
21,1,CH1,2.776235e-06,2.7199999999999926e-08,4.708628571428925e-12,0.00018917633928571426,0.0,False
22,1,CH1,2.805035e-06,2.079999999999987e-08,3.5913523809526504e-12,0.00019371502976190473,0.0,False
23,1,CH1,2.843435e-06,3.359999999999998e-08,7.52328571428628e-12,0.0002697566964285714,0.0,False
24,1,CH1,2.961835e-06,1.7600000000000052e-08,2.988250000000224e-12,0.00018992038690476186,0.0,False
25,1,CH1,3.051435e-06,1.4399999999999811e-08,2.389195238095417e-12,0.00019088764880952376,0.0,False
26,1,CH1,3.265835e-06,1.9840000000000008e-07,5.808668928571864e-11,0.0004260811011904761,0.0,False
27,1,CH1,3.501035e-06,1.1199999999999994e-08,1.7462119047620357e-12,0.00018642336309523808,0.0,False
28,1,CH1,3.513835e-06,6.400000000000057e-09,8.695940476191128e-13,0.00018181026785714285,0.0,False
29,1,CH1,3.728235e-06,1.4399999999999811e-08,2.4559809523811363e-12,0.00019624479166666662,0.0,False
30,1,CH1,3.846635e-06,4.0000000000000464e-08,8.056752380952986e-12,0.00022057514880952377,0.0,False
31,1,CH1,3.984235e-06,4.64000000000001e-08,9.341885714286416e-12,0.00022280729166666662,0.0,False
32,1,CH1,4.189035e-06,3.2000000000002404e-09,2.8565833333335475e-13,0.0001785364583333333,0.0,False
33,1,CH1,4.193835e-06,2.239999999999999e-08,3.8232011904764765e-12,0.000187688244047619,0.0,False
34,1,CH1,4.553835e-06,3.1999999999993934e-09,2.887535714285931e-13,0.00018047098214285713,0.0,False
35,1,CH1,4.563435e-06,1.1199999999999994e-08,1.781926190476324e-12,0.00018858110119047617,0.0,False
36,1,CH1,4.736235e-06,7.35999999999996e-08,1.4737363095239196e-11,0.00024230133928571424,0.0,False
37,1,CH1,5.003435e-06,2.560000000000023e-08,4.643089285714632e-12,0.00019870014880952376,0.0,False
38,1,CH1,5.126635e-06,3.072000000000002e-07,1.0792359880953188e-10,0.0005141019345238095,1.0,False
39,1,CH1,5.790635e-06,5.119999999999961e-08,1.0380884523810303e-11,0.0002338191964285714,0.0,False
40,1,CH1,5.904235e-06,7.35999999999996e-08,1.5689267857144028e-11,0.00025189955357142853,0.0,False
41,1,CH1,6.190635e-06,4.319999999999994e-07,1.6896828214286982e-10,0.0006693846726190476,2.0,False
42,1,CH1,6.867435e-06,8.000000000000601e-09,1.1573952380953248e-12,0.00018181026785714282,0.0,False
43,1,CH1,6.877035e-06,3.1999999999993934e-09,2.9303928571430767e-13,0.00018314955357142854,0.0,False
44,1,CH1,7.441835e-06,3.6799999999999377e-08,7.061983333333863e-12,0.0002149947916666666,0.0,False
45,1,CH1,7.689835e-06,1.5679999999999992e-07,3.668588214285989e-11,0.00030093229166666663,0.0,False
46,1,CH1,7.941035e-06,1.6000000000001202e-09,0.0,,0.0,False
47,1,CH1,7.945835e-06,4.800000000000361e-09,5.821500000000436e-13,0.00018247991071428565,0.0,False
48,2,CH1,-2.0245e-08,9.792e-07,3.930312003571724e-09,0.016297286458333334,2.0,False
49,2,CH1,9.95755e-07,1.5999999999999084e-09,0.0,,0.0,False
50,2,CH1,1.126955e-06,2.256e-07,1.290247857142954e-10,0.0009568102678571427,1.0,False
51,2,CH1,1.365355e-06,2.400000000000011e-08,4.333026190476515e-12,0.0002099352678571428,0.0,False
52,2,CH1,1.678955e-06,1.280000000000001e-07,4.763034166667024e-11,0.0005591168154761904,0.0,False
53,2,CH1,1.829355e-06,2.5600000000000017e-08,4.576779761905105e-12,0.00019691443452380948,0.0,False
54,2,CH1,1.858155e-06,1.5999999999999084e-09,0.0,,0.0,False
55,2,CH1,1.861355e-06,3.2000000000000287e-09,2.8542023809525944e-13,0.00017838764880952375,0.0,False
56,2,CH1,1.874155e-06,6.880000000000009e-08,1.488729285714397e-11,0.00026053050595238093,0.0,False
57,2,CH1,2.067755e-06,2.4479999999999976e-07,8.354006666667294e-11,0.0005548013392857143,1.0,False
58,2,CH1,2.962155e-06,2.2080000000000007e-07,7.232983452381495e-11,0.0005637299107142857,1.0,False
59,2,CH1,3.891755e-06,2.3040000000000037e-07,8.033199880952983e-11,0.0005881346726190476,1.0,False
60,2,CH1,4.178155e-06,8.639999999999971e-08,1.8780248809525218e-11,0.00023798586309523804,0.0,False
61,2,CH1,4.315755e-06,2.239999999999999e-08,4.162605952381264e-12,0.00021692931547619043,0.0,False
62,2,CH1,4.384555e-06,1.4080000000000041e-07,5.3127036904765886e-11,0.0005246674107142856,1.0,False
63,2,CH1,4.562155e-06,3.5199999999999256e-08,6.628467857143355e-12,0.0002091912202380952,0.0,False
64,2,CH1,4.802155e-06,9.28000000000002e-08,2.0381929761906288e-11,0.0002693102678571428,0.0,False
65,2,CH1,5.056555e-06,3.5200000000000103e-08,6.814301190476701e-12,0.00021298586309523806,0.0,False
66,2,CH1,5.373355e-06,7.999999999999754e-09,1.1550142857143721e-12,0.00018151264880952379,0.0,False
67,2,CH1,5.382955e-06,3.83999999999995e-08,6.980498809524332e-12,0.000215813244047619,0.0,False
68,2,CH1,5.424555e-06,2.720000000000035e-08,4.982914285714659e-12,0.00020323883928571423,0.0,False
69,2,CH1,5.854955e-06,3.2000000000002404e-09,2.911345238095456e-13,0.00018195907738095232,0.0,False
70,2,CH1,5.861355e-06,2.079999999999987e-08,3.670161904762179e-12,0.0001974352678571428,0.0,False
71,2,CH1,5.883755e-06,1.6000000000001202e-09,0.0,,0.0,False
72,2,CH1,6.237355e-06,1.2800000000000115e-08,2.0290130952382474e-12,0.00018419122023809518,0.0,False
73,2,CH1,6.309355e-06,9.599999999999874e-09,1.4613869047620143e-12,0.00018448883928571424,0.0,False
74,2,CH1,7.042155e-06,3.359999999999998e-08,6.354238095238572e-12,0.00021395312499999995,0.0,False
75,2,CH1,7.246955e-06,1.6000000000001202e-09,0.0,,0.0,False
76,2,CH1,7.419755e-06,1.6000000000000355e-08,2.693663095238297e-12,0.00019304538690476184,0.0,False
77,2,CH1,7.541355e-06,1.3440000000000078e-07,4.1245594047622134e-11,0.00041276264880952374,0.0,False
78,2,CH1,7.963755e-06,3.5199999999999256e-08,1.1351086904762755e-11,0.0004257090773809523,0.0,False
79,3,CH1,-1.487285e-06,8.959999999999996e-08,3.139882738094643e-11,0.000495203125,0.0,False
80,3,CH1,-1.316085e-06,3.680000000000001e-08,7.566507142855707e-12,0.00022980133928571423,0.0,False
81,3,CH1,-6.28085e-07,1.1199999999999994e-08,1.7504976190472867e-12,0.00018344717261904758,0.0,False
82,3,CH1,-4.37685e-07,1.1199999999999994e-08,1.7804976190472811e-12,0.00019111086309523805,0.0,False
83,3,CH1,-3.86485e-07,2.0799999999999974e-08,3.873733333332599e-12,0.00021395312499999995,0.0,False
84,3,CH1,-1.8485e-08,1.2928e-06,4.8261510369038464e-09,0.013119459077380952,2.0,False
85,3,CH1,1.320715e-06,1.2800000000000115e-08,2.105084523809124e-12,0.00019364062499999997,0.0,False
86,3,CH1,1.704715e-06,1.6960000000000004e-07,5.4751744047608655e-11,0.0005184918154761903,0.0,False
87,3,CH1,1.989515e-06,1.8399999999999985e-07,5.786612142856046e-11,0.0004632090773809523,0.0,False
88,3,CH1,2.175115e-06,4.000000000000004e-08,7.31984761904623e-12,0.00020011383928571425,0.0,False
89,3,CH1,2.363915e-06,2.015999999999999e-07,6.267895833332145e-11,0.0005387299107142856,0.0,False
90,3,CH1,3.248715e-06,2.271999999999997e-07,1.1474008690474015e-10,0.0009411108630952381,1.0,False
91,3,CH1,3.485515e-06,6.096000000000001e-07,2.8259552380947023e-10,0.0011672269345238094,1.0,False
92,3,CH1,4.559115e-06,3.231999999999997e-07,1.8193244404758455e-10,0.000905768601190476,1.0,False
93,3,CH1,6.642315e-06,1.1839999999999958e-07,4.58794869047532e-11,0.0005435662202380952,1.0,False
94,3,CH1,6.791115e-06,3.1999999999993934e-09,2.9137261904756373e-13,0.00018210788690476185,0.0,False
95,3,CH1,6.795915e-06,1.1199999999999994e-08,1.7765690476187106e-12,0.0001863489583333333,0.0,False
