,event,channel,time,time_len,integral,ampl,npeaks,is_sat
0,0,CH1,-6.26485e-07,1.2799999999999998e-07,4.647077976189594e-11,0.0005024144345238094,0.0,False
1,0,CH1,-1.6885e-08,1.2464e-06,5.4358101309513496e-09,0.019457622767857143,1.0,False
2,0,CH1,2.239115e-06,8.000000000000008e-08,2.1541315476186385e-11,0.00035717633928571417,0.0,False
3,0,CH1,2.867915e-06,2.2880000000000025e-07,1.1313808333331185e-10,0.0009561346726190475,0.0,False
4,0,CH1,5.301515e-06,1.8879999999999978e-07,6.519293452379713e-11,0.0005999590773809523,0.0,False
5,0,CH1,6.576715e-06,8.000000000000008e-08,1.93563154761868e-11,0.0002961644345238094,0.0,False
6,1,CH1,-1.999925e-06,2.7840000000000016e-07,1.3680141071429595e-10,0.0007819531249999999,0.0,False
7,1,CH1,-1.691125e-06,3.5200000000000103e-08,6.983505952381473e-12,0.00022674479166666657,0.0,False
8,1,CH1,-4.81525e-07,1.3280000000000002e-07,4.018451190476491e-11,0.0004957180059523808,0.0,False
9,1,CH1,-1.9125e-08,1.296e-06,5.170326910714673e-09,0.015762533482142856,2.0,False
10,1,CH1,1.384075e-06,8.640000000000014e-08,2.7964744047621135e-11,0.0004149888392857142,0.0,False
11,1,CH1,1.521675e-06,1.3280000000000002e-07,3.722963095238373e-11,0.0003588876488095237,0.0,False
12,1,CH1,2.374475e-06,1.4400000000000023e-07,4.6492863095241573e-11,0.0004801674107142856,0.0,False
13,1,CH1,2.579275e-06,6.400000000000057e-09,8.53255952381016e-13,0.0001790513392857142,0.0,False
14,1,CH1,2.636875e-06,3.168000000000001e-07,2.0612710119049165e-10,0.0012111941964285714,1.0,False
15,1,CH1,3.475275e-06,7.839999999999996e-08,2.026542857143009e-11,0.0003386495535714285,0.0,False
16,1,CH1,4.160075e-06,8.639999999999971e-08,2.5423910714287613e-11,0.0003908816964285713,0.0,False
17,1,CH1,4.332875e-06,3.455999999999997e-07,1.462390178571538e-10,0.0008886495535714284,1.0,False
18,1,CH1,5.606475e-06,5.343999999999995e-07,1.0037577202381706e-09,0.006818113839285713,1.0,False
19,1,CH1,6.144075e-06,1.7599999999999628e-08,2.9719642857145075e-12,0.00019266741071428562,0.0,False
20,1,CH1,7.011275e-06,4.4639999999999966e-07,2.7459786904763965e-10,0.0016631287202380951,2.0,False
21,2,CH1,-1.256565e-06,1.280000000000001e-07,4.4608160714289044e-11,0.0004376078869047618,0.0,False
22,2,CH1,-1.042165e-06,1.4400000000000023e-08,2.3547142857144614e-12,0.0001880543154761904,0.0,False
23,2,CH1,-1.87765e-07,8.479999999999999e-08,1.9582666666668134e-11,0.00029058407738095227,0.0,False
24,2,CH1,-4.5365e-08,5.392e-07,5.418612142857548e-10,0.0025039769345238092,1.0,False
25,2,CH1,5.62635e-07,2.879999999999994e-08,5.200910714286102e-12,0.00019861979166666655,0.0,False
26,2,CH1,1.281035e-06,7.999999999999966e-09,1.1799761904762786e-12,0.00018693824404761896,0.0,False
27,2,CH1,1.292235e-06,1.5999999999999084e-09,0.0,,0.0,False
28,2,CH1,1.551435e-06,1.5999999999999084e-09,0.0,,0.0,False
29,2,CH1,1.554635e-06,1.5999999999999084e-09,0.0,,0.0,False
30,2,CH1,2.447435e-06,1.6000000000001202e-09,0.0,,0.0,False
31,2,CH1,2.458635e-06,5.439999999999985e-08,1.0914505952381769e-11,0.0002283072916666666,0.0,False
32,2,CH1,3.071435e-06,3.359999999999998e-08,6.267738095238564e-12,0.0002087388392857142,0.0,False
33,2,CH1,3.340235e-06,1.919999999999975e-08,3.226779761905003e-12,0.00018738467261904753,0.0,False
34,2,CH1,3.405835e-06,1.6000000000001202e-09,0.0,,0.0,False
35,2,CH1,3.409035e-06,5.4400000000000275e-08,1.0930815476191293e-11,0.00023031622023809514,0.0,False
36,2,CH1,3.525835e-06,3.280000000000001e-07,1.4884069047620162e-10,0.0009529352678571427,1.0,False
37,2,CH1,4.261835e-06,1.9519999999999942e-07,6.940100595238615e-11,0.0005586644345238095,1.0,False
38,2,CH1,4.463435e-06,5.599999999999997e-08,1.1083964285715112e-11,0.0002353013392857142,0.0,False
39,2,CH1,4.597835e-06,1.5999999999999508e-08,2.5972678571430506e-12,0.00018492931547619038,0.0,False
40,2,CH1,4.911435e-06,2.3199999999999964e-07,1.024987857142934e-10,0.0008201971726190475,1.0,False
41,2,CH1,5.156235e-06,4.960000000000034e-08,1.0150892857143616e-11,0.00025018229166666657,0.0,False
42,2,CH1,5.380235e-06,1.2800000000000115e-08,2.0943035714287274e-12,0.00019363467261904752,0.0,False
43,2,CH1,5.527435e-06,3.408000000000002e-07,1.8373397619048997e-10,0.0012586644345238093,1.0,False
44,2,CH1,6.042635e-06,2.5599999999999975e-07,1.325610178571528e-10,0.0009299441964285713,1.0,False
45,2,CH1,6.330635e-06,8.639999999999971e-08,1.6773672619048872e-11,0.0002217596726190475,0.0,False
46,2,CH1,6.420235e-06,1.6000000000001202e-09,0.0,,0.0,False
47,2,CH1,6.434635e-06,7.199999999999948e-08,1.402080952381057e-11,0.0002167001488095237,0.0,False
48,2,CH1,7.156235e-06,1.5999999999999508e-08,2.7364345238097284e-12,0.00019802455357142848,0.0,False
49,2,CH1,7.341835e-06,2.2720000000000013e-07,7.57617202381009e-11,0.0005160305059523809,1.0,False
50,2,CH1,7.599435e-06,8.799999999999899e-08,1.8224916666668028e-11,0.00024512276785714274,0.0,False
51,2,CH1,7.850635e-06,1.4560000000000077e-07,5.032077380952757e-11,0.0005326971726190475,0.0,False
52,3,CH1,-1.663925e-06,1.7119999999999994e-07,5.394532142857546e-11,0.0004705691964285713,0.0,False
53,3,CH1,-1.491125e-06,3.359999999999998e-08,6.035357142857593e-12,0.00019943824404761897,0.0,False
54,3,CH1,-9.4325e-08,4.08e-07,3.621490833333604e-10,0.002226893601190476,1.0,False
55,3,CH1,4.12875e-07,1.5999999999999984e-08,2.7063154761906784e-12,0.00019244419642857135,0.0,False
56,3,CH1,9.96875e-07,2.079999999999987e-08,3.4681428571431164e-12,0.0001870870535714285,0.0,False
57,3,CH1,1.356875e-06,2.0959999999999987e-07,6.323005952381427e-11,0.000484408482142857,0.0,False
58,3,CH1,1.785675e-06,9.439999999999989e-08,3.3446678571431075e-11,0.0004902864583333332,0.0,False
59,3,CH1,1.904075e-06,3.5200000000000103e-08,6.778625000000507e-12,0.00021580729166666656,0.0,False
60,3,CH1,2.260875e-06,2.48e-07,1.1093015476191306e-10,0.0008591852678571428,1.0,False
61,3,CH1,2.704075e-06,3.359999999999998e-08,6.317619047619519e-12,0.0002091852678571428,0.0,False
62,3,CH1,3.302475e-06,2.6719999999999975e-07,8.776353571429228e-11,0.0005358965773809522,1.0,False
63,3,CH1,3.635275e-06,1.5999999999996967e-09,0.0,,0.0,False
64,3,CH1,7.724875e-06,1.4560000000000077e-07,6.817184523810035e-11,0.0007890215773809523,0.0,False
65,4,CH1,-5.94485e-07,1.2800000000000009e-08,2.180970238094823e-12,0.00020219122023809515,0.0,False
66,4,CH1,-1.38485e-07,1.1392e-06,3.3454914226184133e-09,0.009510003720238094,1.0,False
67,4,CH1,1.050315e-06,2.976000000000001e-07,2.0738229166662728e-10,0.0013902120535714284,1.0,False
68,4,CH1,1.576715e-06,1.0399999999999998e-07,2.921949999999445e-11,0.0003654352678571427,0.0,False
69,4,CH1,1.682315e-06,4.799999999999937e-09,5.767738095236999e-13,0.00018150669642857134,0.0,False
