,event,channel,time,time_len,integral,ampl,npeaks,is_sat
0,0,CH1,-1.754165e-06,3.2319999999999993e-07,1.4274572857143928e-10,0.0009745625,1.0,False
1,0,CH1,-2.4565e-08,8.656e-07,7.737830714286294e-10,0.003285425595238095,1.0,False
2,0,CH1,1.001035e-06,1.7120000000000016e-07,1.2103365714286625e-10,0.0012187589285714286,1.0,False
3,0,CH1,2.263435e-06,1.199999999999997e-07,3.5162604761907405e-11,0.00039740476190476185,0.0,False
4,0,CH1,2.778635e-06,2.560000000000002e-07,9.143750952381639e-11,0.0006643690476190475,0.0,False
5,0,CH1,6.893835e-06,8.799999999999984e-08,2.5777319047620982e-11,0.0004274642857142857,0.0,False
6,0,CH1,7.959435e-06,4.000000000000131e-08,1.239010476190569e-11,0.0003968095238095238,0.0,False
7,1,CH1,-1.725045e-06,1.7280000000000007e-07,6.0233790476195e-11,0.0004689821428571428,0.0,False
8,1,CH1,-1.533045e-06,5.439999999999985e-08,1.1237376190477032e-11,0.00023922023809523805,0.0,False
9,1,CH1,-1.477045e-06,1.5999999999999084e-09,0.0,,0.0,False
10,1,CH1,-9.82645e-07,1.6160000000000007e-07,4.193476190476505e-11,0.00041905654761904756,0.0,False
11,1,CH1,-7.13845e-07,1.9360000000000004e-07,1.0470885714286499e-10,0.0009121369047619045,1.0,False
12,1,CH1,-4.86645e-07,2.0800000000000027e-08,3.5981476190478892e-12,0.0001934613095238095,0.0,False
13,1,CH1,-3.25045e-07,6.400000000000004e-09,8.940904761905433e-13,0.0001889970238095238,0.0,False
14,1,CH1,-1.7845e-08,1.0496e-06,4.440735428571761e-09,0.013916080357142856,2.0,False
15,1,CH1,1.042955e-06,1.5999999999999084e-09,0.0,,0.0,False
16,1,CH1,1.057355e-06,1.2799999999999903e-08,2.1780761904763535e-12,0.00020142261904761903,0.0,False
17,1,CH1,1.306955e-06,2.688000000000001e-07,8.463060000000634e-11,0.0005977023809523808,1.0,False
18,1,CH1,2.167755e-06,1.5679999999999992e-07,4.914245714286083e-11,0.0004761994047619047,0.0,False
19,1,CH1,3.322955e-06,2.1600000000000013e-07,6.891643809524326e-11,0.00046697321428571426,0.0,False
20,1,CH1,4.268555e-06,2.511999999999994e-07,1.0828639523810339e-10,0.0007744136904761904,1.0,False
21,1,CH1,4.641355e-06,6.399999999999634e-09,9.005190476191152e-13,0.00018907142857142856,0.0,False
22,1,CH1,5.969355e-06,3.83999999999995e-08,9.034019047619725e-12,0.00028572321428571427,0.0,False
23,1,CH1,6.274955e-06,1.4720000000000005e-07,5.0313800000003776e-11,0.0004962142857142856,0.0,False
24,1,CH1,6.441355e-06,1.2159999999999982e-07,3.973511904762203e-11,0.00040834226190476184,0.0,False
25,1,CH1,6.566155e-06,2.0799999999999953e-07,7.686624761905339e-11,0.0006814821428571427,1.0,False
26,1,CH1,7.622155e-06,1.9679999999999954e-07,6.169864761905224e-11,0.0004742648809523809,0.0,False
27,2,CH1,-7.03445e-07,3.424e-07,3.014279238095464e-10,0.0021914523809523807,1.0,False
28,2,CH1,-1.5445e-08,1.024e-06,5.031991271428949e-09,0.020073892857142856,2.0,False
29,2,CH1,1.011755e-06,1.5999999999999084e-09,0.0,,0.0,False
30,2,CH1,1.301355e-06,4.000000000000004e-08,1.0330700000000774e-11,0.0003152619047619047,0.0,False
